drug_name,nafdac_number,manufacturer,batch_number,barcode,label,note
DEMO Paracetamol 500mg,A11-1847,Example Laboratories Ltd,B68910,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Zinc 20mg,04-5053,Example Laboratories Ltd,B78501,8074578747491,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,A4-44897,Sample Remedies Ltd,B26429,6794786080725,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,A4-17357,Demo Pharma Nigeria Ltd,B59912,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxcillin 500mg,04-2751,Sample Remedies Ltd,B16112,9038090091898,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO @@@ 500mg,04-4299,Sample Remedies Ltd,B13942,2388605428607,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Vitamin C 100mg,A4-46830,Example Healthcare Ltd,B91497,5226002301481,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,A4-16907,Example Laboratories Ltd,B52812,3042184141457,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Metronidazole 400mg,04-4486,Example Laboratories Ltd,B18750,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Artemether 20mg,04-1066,Example Healthcare Ltd,B71423,2257772352483,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-46432,Example Laboratories Ltd,B-XYZ,7346488407636,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Cetirizine 10mg,A4-85652,Demo Pharma Nigeria Ltd,B-XYZ,2030770661823,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,A4-79695,Example Laboratories Ltd,B61713,5982214605921,genuine_like,Synthetic demonstration record with internally consistent formatting.
